时间,EV1_优化功率,EV2_优化功率,EV3_优化功率,EV4_优化功率,EV5_优化功率,EV6_优化功率,EV7_优化功率,EV8_优化功率,EV9_优化功率,EV10_优化功率,EV11_优化功率,EV12_优化功率,EV13_优化功率,EV14_优化功率,EV15_优化功率,EV16_优化功率,EV17_优化功率,EV18_优化功率,EV19_优化功率,EV20_优化功率
2026-01-01 16:15:00,1.4399999999999984,0.0,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,0.0,1.44,1.4399999999999964,1.4399999999999968,1.4399999999999973,1.439999999999998,1.4399999999999968,1.44,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999964
2026-01-01 16:30:00,1.44,0.0,0.0,1.44,1.4399999999999997,0.0,0.0,0.0,1.44,1.44,1.44,1.4399999999999997,1.44,1.44,1.44,0.0,0.0,1.44,1.44,1.44
2026-01-01 16:45:00,1.4399999999999984,1.4399999999999997,0.0,1.439999999999999,1.44,0.0,0.0,0.0,1.44,1.4399999999999966,1.4399999999999968,1.4399999999999975,1.439999999999998,1.439999999999997,1.44,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999966
2026-01-01 17:00:00,1.4399999999999984,1.44,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,0.0,1.44,1.4399999999999966,1.4399999999999968,1.4399999999999973,1.439999999999998,1.439999999999997,0.0,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999966
2026-01-01 17:15:00,1.4399999999999984,1.44,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,0.0,1.44,1.4399999999999966,1.4399999999999968,1.4399999999999973,1.439999999999998,1.439999999999997,0.0,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999966
2026-01-01 17:30:00,1.4399999999999997,1.44,0.0,1.44,1.44,1.44,0.0,0.0,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 17:45:00,1.44,1.44,0.0,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 18:00:00,1.4399999999999962,1.44,0.0,1.439999999999997,1.44,1.4399999999999942,0.0,1.44,1.4399999999999988,1.4399999999999944,1.4399999999999946,1.4399999999999953,1.4399999999999955,1.4399999999999946,1.4399999999999997,0.0,0.0,1.4399999999999957,0.0,1.4399999999999944
2026-01-01 18:15:00,1.4399999999999962,1.44,0.0,1.439999999999997,1.44,1.439999999999994,0.0,1.44,1.4399999999999988,1.4399999999999944,1.4399999999999944,1.439999999999995,1.4399999999999955,1.4399999999999946,1.44,0.0,0.0,1.4399999999999955,0.0,1.4399999999999942
2026-01-01 18:30:00,1.44,0.0,1.4399999999999997,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.4399999999999997,1.44,0.0,0.0,1.44,0.0,1.4399999999999997
